step,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw
2643,5.1684346199035645,0.7687231302261353,7.107391357421875,0.29394420981407166,0.10538749396800995,-0.010109810158610344,1.2992066197895884
3810,4.099897861480713,1.1716254949569702,7.19073486328125,0.09815497696399689,0.08468069136142731,-0.007488443050533533,1.5495016399308421
4842,4.216894626617432,-1.8608386516571045,7.11334228515625,0.010843900963664055,-0.0053633032366633415,-0.005012193229049444,-2.759471229706274
5538,3.211878776550293,0.38152697682380676,7.022857666015625,0.24879047274589539,-0.02539093792438507,-0.009275993332266808,0.7821492645102541
6106,3.374084711074829,0.22829923033714294,6.880950927734375,0.09631392359733582,0.05786443501710892,-0.001894120592623949,-0.6727020657137636
6871,3.874682903289795,0.32282039523124695,7.0203857421875,0.16522885859012604,0.023360686376690865,-0.007694853004068136,2.6021528277685206
7555,3.572988271713257,-1.0420671701431274,7.081817626953125,0.04810503497719765,0.03286787495017052,-0.0059998598881065845,-0.8117839461677535
8056,4.859268665313721,-0.12411435693502426,6.987884521484375,0.026422033086419106,0.002038306090980768,-0.006410573143512011,2.2335820060422127
8691,4.180641174316406,1.8307602405548096,6.76983642578125,0.14235983788967133,0.05015834793448448,-0.002196879591792822,-1.1161839940001377
9158,3.176140785217285,-0.4609927237033844,6.86920166015625,0.005228096153587103,-0.00045560800936073065,0.002169453538954258,-0.8357596730518818
9725,4.551185131072998,0.30253228545188904,6.882049560546875,0.02980617620050907,0.011758517473936081,-0.004107315093278885,0.28237486394925854
